simulation,Spain,Argentina,France,England,Brazil
208,19.71153846153846,20.673076923076923,14.423076923076922,8.173076923076923,5.288461538461538
209,19.617224880382775,20.574162679425836,14.354066985645932,8.133971291866029,5.263157894736842
210,19.523809523809526,20.952380952380953,14.285714285714285,8.095238095238095,5.238095238095238
211,19.431279620853083,20.85308056872038,14.218009478672986,8.056872037914692,5.213270142180095
212,19.339622641509436,20.754716981132077,14.622641509433961,8.018867924528301,5.188679245283019
213,19.248826291079812,20.657276995305164,14.553990610328638,7.981220657276995,5.164319248826291
214,19.158878504672895,20.5607476635514,14.485981308411214,7.943925233644859,5.14018691588785
215,19.069767441860467,20.46511627906977,14.418604651162791,8.372093023255815,5.116279069767442
216,19.444444444444446,20.37037037037037,14.351851851851851,8.333333333333332,5.092592592592593
217,19.35483870967742,20.276497695852534,14.285714285714285,8.294930875576037,5.0691244239631335
218,19.26605504587156,20.18348623853211,14.220183486238533,8.256880733944955,5.5045871559633035
219,19.17808219178082,20.54794520547945,14.15525114155251,8.21917808219178,5.47945205479452
220,19.090909090909093,20.909090909090907,14.09090909090909,8.181818181818182,5.454545454545454
221,19.004524886877828,20.81447963800905,14.479638009049776,8.144796380090497,5.429864253393665
222,18.91891891891892,20.72072072072072,14.414414414414415,8.108108108108109,5.405405405405405
223,18.83408071748879,20.62780269058296,14.349775784753364,8.520179372197308,5.381165919282512
224,18.75,20.535714285714285,14.285714285714285,8.482142857142858,5.357142857142857
225,18.666666666666668,20.444444444444446,14.222222222222221,8.444444444444445,5.333333333333334
226,19.02654867256637,20.353982300884958,14.15929203539823,8.4070796460177,5.3097345132743365
227,19.383259911894275,20.26431718061674,14.096916299559473,8.370044052863436,5.286343612334802
228,19.298245614035086,20.175438596491226,14.035087719298245,8.333333333333332,5.263157894736842
229,19.213973799126638,20.52401746724891,13.973799126637553,8.296943231441048,5.240174672489083
230,19.565217391304348,20.434782608695652,13.91304347826087,8.26086956521739,5.217391304347826
231,19.480519480519483,20.346320346320347,13.852813852813853,8.225108225108226,5.194805194805195
